Year,Top20 Market Cap,SP500 Market Cap
1989,464000000000.0,2300000000000.0
1990,507000000000.0,2230000000000.0
1991,669000000000.0,2910000000000.0
1992,658000000000.0,3130000000000.0
1993,672000000000.0,3450000000000.0
1994,708000000000.0,3500000000000.0
1995,1000999999999.9999,4820000000000.0
1996,1348000000000.0,5930000000000.0
1997,1913000000000.0,7910000000000.0
1998,2897000000000.0,10170000000000.0
1999,4101000000000.0,12310000000000.0
2000,3729000000000.0,11710000000000.0
2001,3491000000000.0,10460000000000.0
2002,2686000000000.0,8106999999999.999
2003,3230000000000.0,10290000000000.0
2004,3360000000000.0,11290000000000.0
2005,3230000000000.0,11250000000000.0
2006,3740000000000.0,12730000000000.0
2007,3928000000000.0,12870000000000.0
2008,2696000000000.0,7852000000000.0
2009,3264000000000.0,9928000000000.0
2010,3588000000000.0,11430000000000.0
2011,3726000000000.0,11390000000000.0
2012,4091000000000.0,12740000000000.0
2013,4893000000000.0,16489999999999.998
2014,5348000000000.0,18250000000000.0
2015,5477000000000.0,17900000000000.0
2016,6018000000000.0,19270000000000.0
2017,7618000000000.0,22820000000000.0
2018,7388000000000.0,21030000000000.0
2019,9759000000000.0,26760000000000.0
2020,13141000000000.0,31660000000000.0
2021,17120000000000.002,40360000000000.0
2022,12217000000000.0,32130000000000.004
2023,17983000000000.0,40040000000000.0
2024,25461000000000.0,52871000000000.0
2025,30985000000000.0,61747000000000.0
2026,30204000000000.0,62208000000000.0
